Year,Month,Day,Hour,Minute,Second,HYY_AERO.cn
2023,01,01,00,00,00,989.34092
2023,01,01,01,00,00,581.04531
2023,01,01,02,00,00,437.65939
2023,01,01,03,00,00,662.74136
2023,01,01,04,00,00,665.19742
2023,01,01,05,00,00,734.39121
2023,01,01,06,00,00,655.88651
2023,01,01,07,00,00,584.83515
2023,01,01,08,00,00,529.7141
2023,01,01,09,00,00,703.15712
2023,01,01,10,00,00,888.44864
2023,01,01,11,00,00,763.41727
2023,01,01,12,00,00,731.38907
2023,01,01,13,00,00,1400.63741
2023,01,01,14,00,00,826.41788
2023,01,01,15,00,00,827.91576
2023,01,01,16,00,00,772.21486
2023,01,01,17,00,00,803.57606
2023,01,01,18,00,00,808.16696
2023,01,01,19,00,00,1017.66685
2023,01,01,20,00,00,1104.56255
2023,01,01,21,00,00,1246.14063
2023,01,01,22,00,00,1273.94353
2023,01,01,23,00,00,1136.63866
2023,01,02,00,00,00,612.76757
2023,01,02,01,00,00,437.86849
2023,01,02,02,00,00,495.09894
2023,01,02,03,00,00,708.02864
2023,01,02,04,00,00,651.61333
2023,01,02,05,00,00,503.91985
2023,01,02,06,00,00,588.77424
2023,01,02,07,00,00,724.01499
2023,01,02,08,00,00,809.45091
2023,01,02,09,00,00,1016.69034
2023,01,02,10,00,00,956.13076
2023,01,02,11,00,00,821.33423
2023,01,02,12,00,00,756.21621
2023,01,02,13,00,00,766.76167
2023,01,02,14,00,00,816.95485
2023,01,02,15,00,00,793.98167
2023,01,02,16,00,00,1156.92863
2023,01,02,17,00,00,1667.31999
2023,01,02,18,00,00,1323.71062
2023,01,02,19,00,00,1073.84968
2023,01,02,20,00,00,813.30409
2023,01,02,21,00,00,2032.03429
2023,01,02,22,00,00,4396.26111
2023,01,02,23,00,00,1288.89365
2023,01,03,00,00,00,753.25728
2023,01,03,01,00,00,693.1503
2023,01,03,02,00,00,642.8794
2023,01,03,03,00,00,574.0703
2023,01,03,04,00,00,682.00136
2023,01,03,05,00,00,733.14439
2023,01,03,06,00,00,953.55865
2023,01,03,07,00,00,2654.45226
2023,01,03,08,00,00,1430.90745
2023,01,03,09,00,00,1381.16745
2023,01,03,10,00,00,1061.6347
2023,01,03,11,00,00,993.8488
2023,01,03,12,00,00,1572.02231
2023,01,03,13,00,00,919.38819
2023,01,03,14,00,00,1563.75243
2023,01,03,15,00,00,1755.59518
2023,01,03,16,00,00,1719.57246
2023,01,03,17,00,00,1468.98015
2023,01,03,18,00,00,1207.22395
2023,01,03,19,00,00,1125.48484
2023,01,03,20,00,00,857.0247
2023,01,03,21,00,00,663.48424
2023,01,03,22,00,00,530.09576
2023,01,03,23,00,00,450.38878
2023,01,04,00,00,00,537.57546
2023,01,04,01,00,00,475.86287
2023,01,04,02,00,00,329.03743
2023,01,04,03,00,00,329.76258
2023,01,04,04,00,00,372.81727
2023,01,04,05,00,00,283.07
2023,01,04,06,00,00,228.93561
2023,01,04,07,00,00,259.74636
2023,01,04,08,00,00,401.01364
2023,01,04,09,00,00,761.77577
2023,01,04,10,00,00,408.79636
2023,01,04,11,00,00,447.84939
2023,01,04,12,00,00,337.89409
2023,01,04,13,00,00,513.87213
2023,01,04,14,00,00,859.49046
2023,01,04,15,00,00,431.41061
2023,01,04,16,00,00,442.58182
2023,01,04,17,00,00,479.53318
2023,01,04,18,00,00,647.80802
2023,01,04,19,00,00,812.62456
2023,01,04,20,00,00,1278.94524
2023,01,04,21,00,00,1337.8224
2023,01,04,22,00,00,1511.5889
2023,01,04,23,00,00,1211.79593
2023,01,05,00,00,00,1167.00494
2023,01,05,01,00,00,973.01031
2023,01,05,02,00,00,906.04652
2023,01,05,03,00,00,1193.47504
2023,01,05,04,00,00,1259.50651
2023,01,05,05,00,00,1661.76055
2023,01,05,06,00,00,1234.39042
2023,01,05,07,00,00,1252.47681
2023,01,05,08,00,00,1452.47728
2023,01,05,09,00,00,1590.33097
2023,01,05,10,00,00,1760.68424
2023,01,05,11,00,00,1801.86833
2023,01,05,12,00,00,1990.69574
2023,01,05,13,00,00,2022.32561
2023,01,05,14,00,00,1840.56346
2023,01,05,15,00,00,3126.75231
2023,01,05,16,00,00,1933.13577
2023,01,05,17,00,00,2314.31838
2023,01,05,18,00,00,2365.28984
2023,01,05,19,00,00,3665.71019
2023,01,05,20,00,00,2171.05574
2023,01,05,21,00,00,3012.87641
2023,01,05,22,00,00,3096.83183
2023,01,05,23,00,00,2769.12801
2023,01,06,00,00,00,2564.83472
2023,01,06,01,00,00,3031.50586
2023,01,06,02,00,00,2765.75758
2023,01,06,03,00,00,1843.97243
2023,01,06,04,00,00,1481.80362
2023,01,06,05,00,00,1212.3494
2023,01,06,06,00,00,1883.08093
2023,01,06,07,00,00,2034.97258
2023,01,06,08,00,00,1385.34697
2023,01,06,09,00,00,1141.05648
2023,01,06,10,00,00,1557.44257
2023,01,06,11,00,00,1540.3243
2023,01,06,12,00,00,1096.66591
2023,01,06,13,00,00,1064.40786
2023,01,06,14,00,00,3530.58613
2023,01,06,15,00,00,1884.72269
2023,01,06,16,00,00,4813.75316
2023,01,06,17,00,00,1236.28379
2023,01,06,18,00,00,447.5659
2023,01,06,19,00,00,691.60469
2023,01,06,20,00,00,608.68228
2023,01,06,21,00,00,528.37864
2023,01,06,22,00,00,513.58032
2023,01,06,23,00,00,489.93061
2023,01,07,00,00,00,4555.76982
2023,01,07,01,00,00,11931.04594
2023,01,07,02,00,00,8096.73652
2023,01,07,03,00,00,4356.53453
2023,01,07,04,00,00,1926.46634
2023,01,07,05,00,00,538.52894
2023,01,07,06,00,00,560.88197
2023,01,07,07,00,00,658.41787
2023,01,07,08,00,00,734.78409
2023,01,07,09,00,00,752.09652
2023,01,07,10,00,00,746.79015
2023,01,07,11,00,00,562.96258
2023,01,07,12,00,00,383.26894
2023,01,07,13,00,00,342.28379
2023,01,07,14,00,00,404.9206
2023,01,07,15,00,00,854.91424
2023,01,07,16,00,00,880.60091
2023,01,07,17,00,00,1008.97108
2023,01,07,18,00,00,817.97016
2023,01,07,19,00,00,745.08121
2023,01,07,20,00,00,716.86833
2023,01,07,21,00,00,917.0694
2023,01,07,22,00,00,884.49333
2023,01,07,23,00,00,937.52546
2023,01,08,00,00,00,1005.97394
2023,01,08,01,00,00,1062.95799
2023,01,08,02,00,00,1058.91358
2023,01,08,03,00,00,935.05985
2023,01,08,04,00,00,892.30834
2023,01,08,05,00,00,823.29288
2023,01,08,06,00,00,726.12909
2023,01,08,07,00,00,680.50409
2023,01,08,08,00,00,1078.29948
2023,01,08,09,00,00,1083.59427
2023,01,08,10,00,00,804.31896
2023,01,08,11,00,00,900.37988
2023,01,08,12,00,00,972.17457
2023,01,08,13,00,00,1308.98682
2023,01,08,14,00,00,1014.5885
2023,01,08,15,00,00,1073.21534
2023,01,08,16,00,00,1389.44092
2023,01,08,17,00,00,1421.8553
2023,01,08,18,00,00,1283.99902
2023,01,08,19,00,00,1370.23313
2023,01,08,20,00,00,1752.66903
2023,01,08,21,00,00,1940.90442
2023,01,08,22,00,00,2138.84174
2023,01,08,23,00,00,2110.01897
2023,01,09,00,00,00,1882.77273
2023,01,09,01,00,00,1580.41484
2023,01,09,02,00,00,1378.26014
2023,01,09,03,00,00,1203.07288
2023,01,09,04,00,00,1056.73246
2023,01,09,05,00,00,1134.19379
2023,01,09,06,00,00,1088.87154
2023,01,09,07,00,00,1076.21125
2023,01,09,08,00,00,1016.47378
2023,01,09,09,00,00,2750.29015
2023,01,09,10,00,00,858.10606
2023,01,09,11,00,00,784.60894
2023,01,09,12,00,00,834.87258
2023,01,09,13,00,00,1132.82848
2023,01,09,14,00,00,1584.58415
2023,01,09,15,00,00,1439.61242
2023,01,09,16,00,00,1215.21835
2023,01,09,17,00,00,1091.40441
2023,01,09,18,00,00,879.00378
2023,01,09,19,00,00,994.58762
2023,01,09,20,00,00,1260.32195
2023,01,09,21,00,00,1210.66681
2023,01,09,22,00,00,1055.33227
2023,01,09,23,00,00,971.46076
2023,01,10,00,00,00,906.06788
2023,01,10,01,00,00,810.18727
2023,01,10,02,00,00,762.23712
2023,01,10,03,00,00,864.31939
2023,01,10,04,00,00,875.58334
2023,01,10,05,00,00,853.90258
2023,01,10,06,00,00,876.19698
2023,01,10,07,00,00,1156.56229
2023,01,10,08,00,00,1249.83044
2023,01,10,09,00,00,1446.49421
2023,01,10,10,00,00,1270.97621
2023,01,10,11,00,00,1453.75577
2023,01,10,12,00,00,1576.92974
2023,01,10,13,00,00,4110.59171
2023,01,10,14,00,00,2309.39956
2023,01,10,15,00,00,2149.913
2023,01,10,16,00,00,1638.47665
2023,01,10,17,00,00,1646.00078
2023,01,10,18,00,00,1593.13251
2023,01,10,19,00,00,1602.80742
2023,01,10,20,00,00,1516.90715
2023,01,10,21,00,00,1619.57263
2023,01,10,22,00,00,1277.50396
2023,01,10,23,00,00,711.82304
2023,01,11,00,00,00,454.37439
2023,01,11,01,00,00,308.49258
2023,01,11,02,00,00,237.43197
2023,01,11,03,00,00,241.37666
2023,01,11,04,00,00,215.59121
2023,01,11,05,00,00,236.73637
2023,01,11,06,00,00,373.74333
2023,01,11,07,00,00,485.475
2023,01,11,08,00,00,508.90576
2023,01,11,09,00,00,491.84712
2023,01,11,10,00,00,482.85924
2023,01,11,11,00,00,555.43681
2023,01,11,12,00,00,509.2203
2023,01,11,13,00,00,480.33743
2023,01,11,14,00,00,460.47106
2023,01,11,15,00,00,445.55923
2023,01,11,16,00,00,559.55303
2023,01,11,17,00,00,588.87485
2023,01,11,18,00,00,563.3094
2023,01,11,19,00,00,473.31197
2023,01,11,20,00,00,468.65576
2023,01,11,21,00,00,453.67348
2023,01,11,22,00,00,414.94257
2023,01,11,23,00,00,374.64575
2023,01,12,00,00,00,341.16727
2023,01,12,01,00,00,322.72274
2023,01,12,02,00,00,300.02213
2023,01,12,03,00,00,283.25864
2023,01,12,04,00,00,284.30378
2023,01,12,05,00,00,311.6003
2023,01,12,06,00,00,313.53257
2023,01,12,07,00,00,304.94485
2023,01,12,08,00,00,954.01415
2023,01,12,09,00,00,326.68742
2023,01,12,10,00,00,310.38576
2023,01,12,11,00,00,340.31167
2023,01,12,12,00,00,359.16788
2023,01,12,13,00,00,393.15744
2023,01,12,14,00,00,403.29864
2023,01,12,15,00,00,386.23227
2023,01,12,16,00,00,402.09743
2023,01,12,17,00,00,428.53288
2023,01,12,18,00,00,450.02621
2023,01,12,19,00,00,446.77803
2023,01,12,20,00,00,447.40121
2023,01,12,21,00,00,420.0547
2023,01,12,22,00,00,401.09122
2023,01,12,23,00,00,471.64727
2023,01,13,00,00,00,529.9691
2023,01,13,01,00,00,482.57031
2023,01,13,02,00,00,415.18198
2023,01,13,03,00,00,393.96182
2023,01,13,04,00,00,381.08515
