Year,Month,Day,Hour,Minute,Second,HYY_META.T42,HYY_META.T336
2023,01,01,00,00,00,2.32833,1.98483
2023,01,01,01,00,00,1.6235,1.2265
2023,01,01,02,00,00,1.07167,0.67083
2023,01,01,03,00,00,0.69017,0.36133
2023,01,01,04,00,00,0.10217,-0.1895
2023,01,01,05,00,00,-0.35167,-0.61133
2023,01,01,06,00,00,-0.6745,-0.83283
2023,01,01,07,00,00,-1.1215,-1.1855
2023,01,01,08,00,00,-1.611,-1.61
2023,01,01,09,00,00,-1.958,-1.95767
2023,01,01,10,00,00,-2.06067,-2.13233
2023,01,01,11,00,00,-2.02983,-2.1165
2023,01,01,12,00,00,-1.96483,-2.02233
2023,01,01,13,00,00,-1.95067,-1.99267
2023,01,01,14,00,00,-2.05367,-2.11717
2023,01,01,15,00,00,-2.55367,-2.623
2023,01,01,16,00,00,-2.96617,-3.01217
2023,01,01,17,00,00,-3.25967,-3.3185
2023,01,01,18,00,00,-3.37067,-3.395
2023,01,01,19,00,00,-3.69,-3.74583
2023,01,01,20,00,00,-3.986,-4.03617
2023,01,01,21,00,00,-4.0385,-4.12567
2023,01,01,22,00,00,-3.9955,-4.01817
2023,01,01,23,00,00,-3.79717,-3.847
2023,01,02,00,00,00,-3.90767,-3.964
2023,01,02,01,00,00,-3.92133,-3.89267
2023,01,02,02,00,00,-3.758,-3.62917
2023,01,02,03,00,00,-3.467,-3.41667
2023,01,02,04,00,00,-3.0665,-3.0065
2023,01,02,05,00,00,-3.25633,-3.1105
2023,01,02,06,00,00,-3.57617,-3.43867
2023,01,02,07,00,00,-4.1225,-3.72133
2023,01,02,08,00,00,-4.5615,-4.26033
2023,01,02,09,00,00,-4.93083,-4.6565
2023,01,02,10,00,00,-5.20267,-4.95517
2023,01,02,11,00,00,-5.43133,-5.46733
2023,01,02,12,00,00,-4.53583,-4.57167
2023,01,02,13,00,00,-4.308,-4.37583
2023,01,02,14,00,00,-4.6415,-4.479
2023,01,02,15,00,00,-5.09233,-4.81233
2023,01,02,16,00,00,-5.58433,-5.615
2023,01,02,17,00,00,-5.39583,-5.49083
2023,01,02,18,00,00,-5.10767,-5.174
2023,01,02,19,00,00,-4.83767,-4.91033
2023,01,02,20,00,00,-4.75683,-4.81167
2023,01,02,21,00,00,-4.48483,-4.48617
2023,01,02,22,00,00,-4.1635,-4.203
2023,01,02,23,00,00,-3.61767,-3.70717
2023,01,03,00,00,00,-3.02583,-3.13533
2023,01,03,01,00,00,-2.63417,-2.767
2023,01,03,02,00,00,-2.49617,-2.672
2023,01,03,03,00,00,-2.46217,-2.6395
2023,01,03,04,00,00,-2.51767,-2.77283
2023,01,03,05,00,00,-2.65117,-2.92983
2023,01,03,06,00,00,-2.83033,-3.15333
2023,01,03,07,00,00,-3.26467,-3.60417
2023,01,03,08,00,00,-3.542,-3.8795
2023,01,03,09,00,00,-3.67933,-4.01117
2023,01,03,10,00,00,-3.67883,-4.0195
2023,01,03,11,00,00,-3.63533,-3.97583
2023,01,03,12,00,00,-3.524,-3.8655
2023,01,03,13,00,00,-3.4845,-3.86083
2023,01,03,14,00,00,-3.606,-4.034
2023,01,03,15,00,00,-3.80533,-4.119
2023,01,03,16,00,00,-3.96483,-4.11233
2023,01,03,17,00,00,-3.8815,-4.081
2023,01,03,18,00,00,-3.8665,-4.11583
2023,01,03,19,00,00,-3.78333,-4.12
2023,01,03,20,00,00,-3.867,-4.18233
2023,01,03,21,00,00,-4.12117,-4.32367
2023,01,03,22,00,00,-3.92033,-4.29967
2023,01,03,23,00,00,-3.87567,-4.1775
2023,01,04,00,00,00,-3.7315,-4.015
2023,01,04,01,00,00,-3.64883,-3.88583
2023,01,04,02,00,00,-3.77533,-4.08183
2023,01,04,03,00,00,-4.29683,-4.62083
2023,01,04,04,00,00,-4.45567,-4.78933
2023,01,04,05,00,00,-4.52167,-4.87967
2023,01,04,06,00,00,-4.66617,-4.9535
2023,01,04,07,00,00,-4.88667,-5.13833
2023,01,04,08,00,00,-5.132,-5.50283
2023,01,04,09,00,00,-5.7965,-6.19617
2023,01,04,10,00,00,-6.2695,-6.66883
2023,01,04,11,00,00,-6.61267,-7.03067
2023,01,04,12,00,00,-6.8585,-7.29183
2023,01,04,13,00,00,-7.696,-7.94567
2023,01,04,14,00,00,-8.54517,-8.51317
2023,01,04,15,00,00,-10.00633,-9.26833
2023,01,04,16,00,00,-10.84867,-9.69783
2023,01,04,17,00,00,-10.67117,-10.101
2023,01,04,18,00,00,-11.01933,-10.76767
2023,01,04,19,00,00,-11.699,-11.45583
2023,01,04,20,00,00,-12.06733,-12.01083
2023,01,04,21,00,00,-12.33333,-12.34183
2023,01,04,22,00,00,-12.7575,-12.85367
2023,01,04,23,00,00,-12.86383,-13.00483
2023,01,05,00,00,00,-12.84417,-12.95183
2023,01,05,01,00,00,-12.99,-13.08767
2023,01,05,02,00,00,-13.327,-13.23683
2023,01,05,03,00,00,-13.62267,-13.4445
2023,01,05,04,00,00,-13.63817,-13.52117
2023,01,05,05,00,00,-13.505,-13.44667
2023,01,05,06,00,00,-13.292,-13.22083
2023,01,05,07,00,00,-12.8245,-12.70317
2023,01,05,08,00,00,-11.67917,-11.71467
2023,01,05,09,00,00,-11.093,-11.13883
2023,01,05,10,00,00,-11.1125,-11.09367
2023,01,05,11,00,00,-10.30233,-10.467
2023,01,05,12,00,00,-9.9355,-10.04917
2023,01,05,13,00,00,-9.329,-9.523
2023,01,05,14,00,00,-8.8275,-9.04817
2023,01,05,15,00,00,-8.62767,-8.841
2023,01,05,16,00,00,-8.516,-8.73533
2023,01,05,17,00,00,-8.40133,-8.64833
2023,01,05,18,00,00,-8.355,-8.66317
2023,01,05,19,00,00,-8.3855,-8.64867
2023,01,05,20,00,00,-8.42683,-8.75033
2023,01,05,21,00,00,-8.5505,-8.84367
2023,01,05,22,00,00,-8.58567,-8.90167
2023,01,05,23,00,00,-8.70867,-8.98
2023,01,06,00,00,00,-8.79483,-9.08433
2023,01,06,01,00,00,-8.91617,-9.19333
2023,01,06,02,00,00,-9.05917,-9.27383
2023,01,06,03,00,00,-9.1735,-9.34317
2023,01,06,04,00,00,-9.34217,-9.4405
2023,01,06,05,00,00,-9.45983,-9.53567
2023,01,06,06,00,00,-9.654,-9.5825
2023,01,06,07,00,00,-10.00467,-9.50467
2023,01,06,08,00,00,-10.19933,-9.53517
2023,01,06,09,00,00,-10.33467,-9.938
