Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2023,01,01,00,00,00,974.099
2023,01,01,01,00,00,577.34615
2023,01,01,02,00,00,417.95455
2023,01,01,03,00,00,626.77199
2023,01,01,04,00,00,654.13317
2023,01,01,05,00,00,747.27599
2023,01,01,06,00,00,652.29472
2023,01,01,07,00,00,630.36328
2023,01,01,08,00,00,552.53393
2023,01,01,09,00,00,747.52498
2023,01,01,10,00,00,904.01839
2023,01,01,11,00,00,766.96523
2023,01,01,12,00,00,760.92479
2023,01,01,13,00,00,856.02927
2023,01,01,14,00,00,953.954
2023,01,01,15,00,00,1046.78808
2023,01,01,16,00,00,835.29136
2023,01,01,17,00,00,862.17528
2023,01,01,18,00,00,802.16097
2023,01,01,19,00,00,1042.50648
2023,01,01,20,00,00,1122.78149
2023,01,01,21,00,00,1160.07265
2023,01,01,22,00,00,1251.49799
2023,01,01,23,00,00,1119.86486
2023,01,02,00,00,00,633.87768
2023,01,02,01,00,00,419.79309
2023,01,02,02,00,00,492.76467
2023,01,02,03,00,00,679.2985
2023,01,02,04,00,00,636.05545
2023,01,02,05,00,00,509.12338
2023,01,02,06,00,00,568.93907
2023,01,02,07,00,00,696.64019
2023,01,02,08,00,00,819.11855
2023,01,02,09,00,00,1078.02031
2023,01,02,10,00,00,938.2502
2023,01,02,11,00,00,777.28582
2023,01,02,12,00,00,731.24501
2023,01,02,13,00,00,740.2972
2023,01,02,14,00,00,842.4753
2023,01,02,15,00,00,784.61346
2023,01,02,16,00,00,1002.68707
2023,01,02,17,00,00,1478.24001
2023,01,02,18,00,00,1186.95601
2023,01,02,19,00,00,964.16571
2023,01,02,20,00,00,713.68942
2023,01,02,21,00,00,1997.84786
2023,01,02,22,00,00,4575.179
2023,01,02,23,00,00,1359.27412
2023,01,03,00,00,00,687.19683
2023,01,03,01,00,00,616.96614
2023,01,03,02,00,00,602.76084
2023,01,03,03,00,00,535.25091
2023,01,03,04,00,00,607.83838
2023,01,03,05,00,00,664.31897
2023,01,03,06,00,00,802.96322
2023,01,03,07,00,00,2532.05001
2023,01,03,08,00,00,1424.57881
2023,01,03,09,30,00,1313.48602
2023,01,03,10,00,00,1045.52376
2023,01,03,11,00,00,899.51643
2023,01,03,12,00,00,1535.72461
2023,01,03,13,00,00,840.06905
2023,01,03,14,00,00,1357.32078
2023,01,03,15,00,00,1541.85718
2023,01,03,16,10,00,1471.20496
2023,01,03,17,00,00,1281.4432
2023,01,03,18,00,00,1058.92372
2023,01,03,19,00,00,1013.17238
2023,01,03,20,00,00,760.26627
2023,01,03,21,00,00,578.20034
2023,01,03,22,00,00,477.22415
2023,01,03,23,20,00,401.53077
2023,01,04,00,00,00,486.412
2023,01,04,01,00,00,417.68987
2023,01,04,02,00,00,301.37303
2023,01,04,03,00,00,290.5167
2023,01,04,04,00,00,315.56088
2023,01,04,05,00,00,245.96998
2023,01,04,06,00,00,197.03165
2023,01,04,07,00,00,223.38228
2023,01,04,08,00,00,362.6127
2023,01,04,09,00,00,856.05596
2023,01,04,10,00,00,387.98054
2023,01,04,11,00,00,466.9193
2023,01,04,12,00,00,328.36243
2023,01,04,13,00,00,538.16826
2023,01,04,14,00,00,1024.17951
2023,01,04,15,00,00,410.83384
2023,01,04,16,00,00,381.37389
2023,01,04,17,00,00,445.68561
2023,01,04,18,00,00,619.67338
2023,01,04,19,00,00,795.38789
2023,01,04,20,00,00,1142.64016
2023,01,04,21,00,00,1220.95015
2023,01,04,22,00,00,1363.39766
2023,01,04,23,00,00,1072.18435
2023,01,05,00,00,00,1017.18344
2023,01,05,01,00,00,833.84286
2023,01,05,02,00,00,763.45754
2023,01,05,03,00,00,1065.25137
2023,01,05,04,00,00,1092.80062
